"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
吉安鄉,仁和村,1196,792291,662,549,352,840,528.79,79.82
吉安鄉,仁安村,598,386009,645,497,302,806,626.16,97.00
吉安鄉,永安村,1296,1077335,831,605,357,1058,791.96,95.27
吉安鄉,勝安村,1600,1325658,829,611,346,1075,765.20,92.36
壽豐鄉,池南村,166,103298,622,488,292,758,518.30,83.29
壽豐鄉,志學村,599,439482,734,548,348,966,630.58,85.95
壽豐鄉,光榮村,164,102664,626,493,336,767,557.21,89.01
壽豐鄉,平和村,282,209058,741,546,300,910,719.03,96.99
壽豐鄉,壽豐村,376,261183,695,509,320,892,595.94,85.79
壽豐鄉,共和村,126,94937,753,535,308,792,1038.34,137.81
壽豐鄉,豐山村,452,290047,642,482,311,784,555.93,86.63
壽豐鄉,豐裡村,319,199859,627,503,304,772,502.20,80.16
壽豐鄉,豐坪村,176,121389,690,509,305,916,610.70,88.54
壽豐鄉,溪口村,198,121112,612,460,305,741,478.03,78.15
壽豐鄉,月眉村,181,94022,519,450,280,680,369.44,71.12
壽豐鄉,米棧村,42,20291,483,391,273,614,340.82,70.55
壽豐鄉,水璉村,106,67006,632,485,282,738,873.77,138.23
壽豐鄉,鹽寮村,85,56634,666,470,246,990,674.21,101.19
壽豐鄉,樹湖村,72,44641,620,462,297,629,781.43,126.03
鳳林鎮,鳳仁里,325,228788,704,549,346,965,501.92,71.30
鳳林鎮,鳳義里,150,127537,850,625,348,1073,1031.70,121.34
鳳林鎮,鳳禮里,174,137529,790,568,344,968,1040.12,131.60
鳳林鎮,鳳智里,312,234004,750,569,363,960,604.43,80.59
鳳林鎮,鳳信里,304,201290,662,517,333,801,537.34,81.15
鳳林鎮,林榮里,193,127086,658,484,301,814,781.51,118.69
鳳林鎮,南平里,101,91858,909,534,377,828,2022.51,222.38
鳳林鎮,北林里,119,79791,671,526,364,708,693.99,103.50
鳳林鎮,大榮里,240,150371,627,473,302,847,527.72,84.23
鳳林鎮,山興里,72,40681,565,467,295,806,385.60,68.25
鳳林鎮,長橋里,208,136832,658,564,344,797,497.07,75.56
鳳林鎮,森榮里,25,16568,663,589,266,747,667.19,100.68
豐濱鄉,豐濱村,311,178768,575,505,309,735,385.52,67.07
豐濱鄉,港口村,100,106283,1063,434,291,687,5322.10,500.75
豐濱鄉,靜浦村,82,39881,486,451,281,604,304.68,62.65
豐濱鄉,新社村,84,45034,536,448,225,689,519.12,96.83
豐濱鄉,磯崎村,59,32282,547,526,321,689,311.71,56.97
瑞穗鄉,瑞穗村,469,323376,690,536,313,795,648.11,94.00
瑞穗鄉,瑞良村,113,65547,580,483,349,615,516.82,89.10
瑞穗鄉,瑞美村,415,276532,666,555,325,875,490.60,73.63
瑞穗鄉,瑞祥村,183,135194,739,534,329,792,1276.61,172.80
瑞穗鄉,瑞北村,96,60107,626,531,310,705,582.07,92.97
瑞穗鄉,奇美村,61,30506,500,419,242,608,413.05,82.59
瑞穗鄉,富源村,135,74217,550,465,283,664,465.22,84.62
瑞穗鄉,富興村,85,49764,585,434,297,756,451.77,77.17
瑞穗鄉,富民村,142,83025,585,462,282,714,528.71,90.43
瑞穗鄉,舞鶴村,158,78473,497,465,254,645,356.51,71.78
瑞穗鄉,鶴岡村,133,68360,514,471,275,660,355.47,69.16
富里鄉,富里村,255,161083,632,502,265,823,648.97,102.73
富里鄉,永豐村,82,41240,503,394,264,660,430.18,85.53
富里鄉,富南村,83,53032,639,524,310,784,591.73,92.61
富里鄉,學田村,103,64171,623,514,266,733,538.51,86.44
富里鄉,石牌村,180,108071,600,462,290,712,702.06,116.93
富里鄉,明里村,60,36839,614,461,299,691,555.91,90.54
富里鄉,羅山村,66,39481,598,476,327,729,442.79,74.02
富里鄉,竹田村,203,122132,602,459,293,822,474.07,78.80
富里鄉,新興村,90,50228,558,509,344,759,341.62,61.21
富里鄉,萬寧村,89,50017,562,483,338,680,404.57,71.99
富里鄉,豐南村,72,43123,599,531,334,737,397.13,66.31
富里鄉,東里村,180,119620,665,530,327,756,567.67,85.42
富里鄉,吳江村,67,32518,485,406,234,649,373.21,76.90
秀林鄉,和平村,386,220907,572,454,284,712,500.67,87.48
秀林鄉,崇德村,307,180091,587,493,295,719,485.85,82.82
秀林鄉,富世村,423,265628,628,527,310,848,433.93,69.10
秀林鄉,秀林村,394,248901,632,523,314,827,456.47,72.26
秀林鄉,景美村,354,213195,602,492,290,733,495.02,82.20
秀林鄉,佳民村,190,111180,585,504,295,712,501.06,85.63
秀林鄉,銅門村,289,163654,566,475,280,781,403.07,71.18
秀林鄉,文蘭村,220,151480,689,580,349,926,486.47,70.65
秀林鄉,水源村,225,144360,642,510,310,852,501.25,78.12
萬榮鄉,西林村,275,179552,653,561,353,832,453.27,69.42
萬榮鄉,見晴村,117,68634,587,523,295,778,366.79,62.53
萬榮鄉,萬榮村,159,100635,633,527,278,808,507.87,80.24
萬榮鄉,明利村,119,75961,638,447,301,781,757.46,118.66
萬榮鄉,馬遠村,269,139248,518,474,297,682,323.28,62.45
萬榮鄉,紅葉村,265,139423,526,400,251,691,424.51,80.69
卓溪鄉,崙山村,108,69487,643,580,382,827,408.41,63.48
卓溪鄉,立山村,235,135140,575,509,307,753,361.76,62.91
卓溪鄉,太平村,158,100178,634,577,336,795,419.89,66.22
卓溪鄉,卓溪村,161,96087,597,529,367,725,387.84,64.99
卓溪鄉,卓清村,189,106594,564,494,304,767,370.02,65.61
卓溪鄉,古風村,159,95419,600,544,339,743,389.80,64.95
