"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
潮州鎮,三和里,566,454083,802,618,343,1023,799.57,99.66
潮州鎮,富春里,248,164427,663,571,311,793,623.33,94.01
東港鎮,八德里,173,130110,752,521,313,918,880.93,117.13
東港鎮,東隆里,257,157102,611,480,304,734,531.15,86.89
東港鎮,共和里,117,104965,897,628,323,1168,970.49,108.18
東港鎮,豐漁里,113,79503,704,529,357,942,649.33,92.29
東港鎮,盛漁里,250,147025,588,491,310,719,453.76,77.16
東港鎮,興漁里,372,229220,616,490,321,768,483.22,78.42
東港鎮,鎮海里,490,285182,582,482,311,720,490.10,84.21
東港鎮,嘉蓮里,302,200056,662,504,333,831,534.35,80.66
東港鎮,南平里,233,119805,514,431,245,693,387.77,75.41
東港鎮,興東里,2107,1656670,786,582,341,991,825.96,105.05
東港鎮,興農里,304,226475,745,584,339,957,724.24,97.22
東港鎮,興和里,226,151787,672,530,333,893,498.76,74.26
東港鎮,船頭里,1228,914812,745,580,346,980,627.95,84.29
東港鎮,新勝里,592,444702,751,551,354,956,668.95,89.05
東港鎮,頂中里,115,83720,728,527,340,903,711.82,97.78
東港鎮,頂新里,128,95995,750,553,353,876,720.45,96.07
東港鎮,東和里,155,97377,628,520,279,782,543.67,86.54
東港鎮,朝安里,364,247214,679,525,269,912,572.01,84.22
東港鎮,興臺里,144,108907,756,537,332,875,807.71,106.80
東港鎮,中興里,175,105640,604,486,312,838,477.13,79.04
東港鎮,大潭里,335,212483,634,496,309,787,544.35,85.82
東港鎮,大鵬里,26,22933,882,651,372,1260,690.41,78.28
恆春鎮,城北里,537,365720,681,523,301,896,595.44,87.43
恆春鎮,城西里,244,173229,710,591,340,973,500.33,70.47
恆春鎮,城南里,242,158184,654,495,323,797,644.89,98.66
恆春鎮,山腳里,912,627684,688,523,309,891,580.90,84.40
恆春鎮,網紗里,653,1671660,2560,506,287,845,47446.25,1853.39
恆春鎮,仁壽里,141,90544,642,492,276,827,549.63,85.59
恆春鎮,茄湖里,67,37882,565,439,293,728,410.37,72.58
恆春鎮,頭溝里,64,41105,642,613,328,824,424.46,66.09
恆春鎮,四溝里,136,88465,650,523,368,857,445.18,68.44
恆春鎮,德和里,162,128593,794,522,287,970,1127.07,141.99
恆春鎮,龍水里,202,228450,1131,441,319,752,7392.10,653.62
恆春鎮,山海里,233,414499,1779,436,288,681,17168.65,965.09
恆春鎮,大光里,339,201660,595,503,313,740,420.96,70.77
恆春鎮,水泉里,203,121430,598,453,287,708,623.03,104.16
恆春鎮,南灣里,383,388910,1015,630,358,1425,1024.32,100.87
恆春鎮,墾丁里,225,155674,692,537,314,883,626.56,90.56
恆春鎮,鵝鑾里,153,83748,547,403,300,648,488.71,89.28
萬丹鄉,萬安村,163,121315,744,500,290,996,692.42,93.03
萬丹鄉,萬全村,884,677457,766,577,345,990,666.09,86.92
萬丹鄉,萬惠村,201,159238,792,599,355,1078,622.86,78.62
萬丹鄉,萬後村,164,118635,723,595,366,927,562.71,77.79
萬丹鄉,萬生村,354,243654,688,539,332,862,605.37,87.95
萬丹鄉,寶厝村,501,368865,736,578,342,959,575.72,78.20
萬丹鄉,四維村,412,282004,684,530,327,905,517.18,75.56
萬丹鄉,竹林村,286,208316,728,514,310,844,723.91,99.39
萬丹鄉,廣安村,609,416593,684,529,319,871,577.83,84.47
萬丹鄉,田厝村,239,173131,724,594,328,901,610.63,84.29
萬丹鄉,崙頂村,435,291781,671,523,347,868,527.51,78.64
萬丹鄉,社上村,327,214184,655,535,323,796,553.34,84.48
萬丹鄉,社中村,322,220895,686,542,310,869,539.23,78.60
萬丹鄉,社皮村,431,306368,711,532,338,892,634.77,89.30
萬丹鄉,磚寮村,213,147313,692,587,345,864,522.88,75.60
萬丹鄉,社口村,293,212190,724,539,331,881,852.59,117.73
萬丹鄉,加興村,259,187568,724,497,310,878,736.65,101.72
萬丹鄉,上村村,159,146635,922,550,315,874,2146.15,232.71
萬丹鄉,厦南村,287,191134,666,563,338,836,513.53,77.11
萬丹鄉,厦北村,323,208549,646,525,307,744,606.74,93.97
萬丹鄉,新庄村,487,356535,732,572,337,954,590.15,80.61
萬丹鄉,新鐘村,465,327026,703,558,334,922,548.77,78.03
萬丹鄉,水泉村,416,333012,801,642,340,995,662.22,82.73
萬丹鄉,香社村,335,234737,701,563,343,868,633.80,90.45
萬丹鄉,灣內村,267,178251,668,543,344,824,539.45,80.80
萬丹鄉,後村村,226,147601,653,557,318,849,469.40,71.87
萬丹鄉,水仙村,108,77287,716,605,378,920,494.64,69.12
萬丹鄉,興安村,167,116299,696,632,328,910,499.21,71.68
萬丹鄉,興全村,210,147898,704,491,301,842,796.86,113.15
萬丹鄉,甘棠村,58,34686,598,471,304,773,467.50,78.17
長治鄉,進興村,658,489816,744,582,371,994,561.87,75.48
長治鄉,新潭村,958,742156,775,614,368,1020,614.78,79.36
長治鄉,長興村,282,226690,804,588,368,1022,678.73,84.43
長治鄉,潭頭村,525,436380,831,663,380,1086,647.75,77.93
長治鄉,香楊村,704,620044,881,644,354,1161,759.04,86.18
長治鄉,德協村,243,180886,744,566,346,895,669.00,89.87
長治鄉,德成村,224,167750,749,616,347,988,531.25,70.94
長治鄉,復興村,293,198204,676,518,288,811,658.73,97.38
長治鄉,崙上村,399,285916,717,581,343,919,580.84,81.06
長治鄉,德榮村,284,195739,689,559,356,887,521.56,75.67
長治鄉,德和村,141,80376,570,498,330,672,423.86,74.36
長治鄉,繁隆村,243,157755,649,551,306,871,459.31,70.75
長治鄉,繁華村,437,282414,646,533,335,800,513.46,79.45
長治鄉,繁昌村,321,212043,661,530,301,847,516.39,78.17
長治鄉,繁榮村,233,159650,685,578,340,863,527.17,76.94
長治鄉,榮華村,106,68953,650,475,290,763,824.73,126.78
麟洛鄉,新田村,561,419786,748,615,367,962,555.57,74.25
麟洛鄉,麟頂村,266,205827,774,545,349,963,748.53,96.74
麟洛鄉,麟蹄村,413,296728,718,554,325,901,829.23,115.42
麟洛鄉,麟趾村,680,503951,741,596,347,936,698.43,94.24
麟洛鄉,田心村,233,179202,769,600,343,1025,651.18,84.67
麟洛鄉,田中村,317,249717,788,586,355,1017,664.72,84.38
麟洛鄉,田道村,166,114592,690,575,359,878,554.96,80.39
九如鄉,九清村,319,216943,680,532,309,913,541.69,79.65
九如鄉,九塊村,265,191661,723,550,348,912,640.42,88.55
九如鄉,九明村,305,190624,625,532,322,776,488.29,78.13
九如鄉,玉水村,254,177826,700,519,315,827,1428.67,204.07
九如鄉,玉泉村,346,240818,696,507,320,896,645.35,92.72
九如鄉,東寧村,967,663733,686,550,330,872,528.50,77.00
九如鄉,大坵村,185,132677,717,522,324,865,718.04,100.12
九如鄉,三塊村,267,150851,565,485,293,755,407.10,72.05
九如鄉,後庄村,339,209327,617,542,304,800,452.63,73.30
九如鄉,耆老村,249,171065,687,582,340,927,501.25,72.96
九如鄉,洽興村,243,151224,622,482,314,822,462.55,74.33
里港鄉,玉田村,705,492560,699,561,334,946,542.76,77.68
里港鄉,大平村,274,183706,670,548,315,849,541.98,80.84
里港鄉,永春村,190,135138,711,579,311,871,665.92,93.63
里港鄉,春林村,293,206401,704,553,337,947,569.40,80.83
里港鄉,過江村,444,311783,702,556,350,900,600.54,85.52
里港鄉,鐵店村,298,212423,713,556,335,941,567.53,79.62
里港鄉,塔樓村,322,250808,779,563,339,919,1315.77,168.92
里港鄉,潮厝村,299,207071,693,529,318,896,545.91,78.83
里港鄉,茄苳村,308,216150,702,612,344,937,509.17,72.55
里港鄉,載興村,458,299966,655,517,328,824,526.77,80.43
里港鄉,土庫村,390,256215,657,544,306,899,512.67,78.04
里港鄉,中和村,191,145240,760,519,306,838,1083.13,142.44
里港鄉,瀰力村,91,58155,639,456,300,783,654.35,102.39
鹽埔鄉,鹽北村,382,252711,662,528,358,824,501.13,75.75
鹽埔鄉,鹽中村,412,274907,667,569,340,863,504.53,75.61
鹽埔鄉,鹽南村,326,236864,727,602,395,938,538.98,74.18
鹽埔鄉,仕絨村,192,121216,631,443,262,785,584.74,92.62
鹽埔鄉,高朗村,487,322969,663,546,326,850,501.27,75.59
鹽埔鄉,振興村,268,176727,659,555,346,807,520.95,79.00
鹽埔鄉,久愛村,159,99699,627,505,299,785,495.73,79.06
鹽埔鄉,新圍村,567,351026,619,502,305,787,493.02,79.64
鹽埔鄉,新二村,696,470871,677,552,341,844,519.50,76.79
鹽埔鄉,彭厝村,177,119698,676,544,315,873,539.30,79.75
鹽埔鄉,洛陽村,347,213280,615,485,307,781,509.54,82.90
鹽埔鄉,永隆村,88,54221,616,521,348,787,379.76,61.64
高樹鄉,高樹村,398,293806,738,490,296,792,1197.01,162.15
高樹鄉,長榮村,209,153420,734,500,270,786,1059.56,144.34
高樹鄉,東振村,77,45951,597,501,336,818,420.32,70.43
高樹鄉,東興村,127,93657,737,587,352,859,607.76,82.41
高樹鄉,大埔村,86,62522,727,483,285,775,957.93,131.76
高樹鄉,源泉村,130,78500,604,479,323,731,533.56,88.36
高樹鄉,建興村,149,93816,630,553,357,735,492.50,78.22
高樹鄉,舊寮村,161,108443,674,505,301,881,595.66,88.44
高樹鄉,司馬村,97,63739,657,554,383,769,454.54,69.17
高樹鄉,菜寮村,100,68882,689,513,321,859,602.03,87.40
高樹鄉,新豐村,211,135566,642,516,309,770,544.40,84.73
高樹鄉,田子村,147,92813,631,519,374,748,427.74,67.75
高樹鄉,舊庄村,132,78341,593,476,290,807,447.25,75.36
高樹鄉,鹽樹村,193,117927,611,452,264,755,601.55,98.45
高樹鄉,新南村,229,149635,653,518,333,796,699.50,107.05
高樹鄉,泰山村,230,153429,667,531,293,869,662.87,99.37
高樹鄉,南華村,170,95313,561,427,298,696,480.53,85.71
高樹鄉,廣興村,148,93726,633,499,316,699,629.75,99.44
高樹鄉,廣福村,146,96128,658,472,314,842,578.36,87.84
萬巒鄉,萬巒村,302,247912,821,627,365,984,748.14,91.14
萬巒鄉,萬全村,180,155672,865,543,345,775,1947.42,225.18
萬巒鄉,萬和村,398,296001,744,626,361,956,540.85,72.72
萬巒鄉,鹿寮村,195,178628,916,733,424,1071,1036.87,113.19
萬巒鄉,硫黃村,110,74012,673,534,361,772,466.77,69.37
萬巒鄉,泗溝村,250,181157,725,567,363,944,601.74,83.04
萬巒鄉,佳佐村,279,168361,603,482,289,728,494.95,82.02
萬巒鄉,佳和村,286,207493,725,496,336,895,633.13,87.27
萬巒鄉,新厝村,190,128470,676,514,303,754,723.52,107.00
萬巒鄉,新置村,176,106842,607,512,335,775,436.15,71.85
萬巒鄉,赤山村,252,141560,562,488,303,674,462.58,82.35
萬巒鄉,萬金村,285,158502,556,454,305,710,410.08,73.74
萬巒鄉,五溝村,242,179792,743,580,337,949,608.49,81.90
萬巒鄉,成德村,261,183068,701,570,328,882,532.08,75.86
內埔鄉,內埔村,1084,830330,766,630,350,997,593.07,77.43
內埔鄉,興南村,289,183819,636,518,315,868,471.36,74.11
內埔鄉,義亭村,114,79127,694,573,355,902,504.66,72.71
內埔鄉,美和村,553,403110,729,575,345,928,673.63,92.41
內埔鄉,和興村,730,594368,814,664,405,1046,606.77,74.52
內埔鄉,豐田村,691,502627,727,583,363,945,566.40,77.87
內埔鄉,竹圍村,433,291596,673,521,331,859,531.52,78.93
內埔鄉,富田村,446,308804,692,557,347,900,542.29,78.32
內埔鄉,東勢村,603,400013,663,545,370,828,461.56,69.58
內埔鄉,東片村,237,164086,692,551,359,854,522.36,75.45
內埔鄉,東寧村,1162,843948,726,579,358,944,550.10,75.74
內埔鄉,上樹村,229,150694,658,540,366,812,508.34,77.25
內埔鄉,老埤村,337,214703,637,525,333,814,437.18,68.62
內埔鄉,中林村,255,137227,538,452,281,721,370.46,68.84
內埔鄉,龍泉村,414,244699,591,472,278,740,533.12,90.20
內埔鄉,建興村,131,87483,668,517,341,916,542.67,81.26
內埔鄉,大新村,322,211458,657,532,327,823,534.96,81.46
內埔鄉,黎明村,387,253837,656,544,356,811,470.90,71.79
內埔鄉,隘寮村,167,102923,616,526,341,765,449.17,72.88
內埔鄉,龍潭村,395,257668,652,549,329,778,523.09,80.19
內埔鄉,內田村,833,613580,737,589,360,957,573.15,77.81
內埔鄉,水門村,137,80706,589,453,260,825,451.59,76.66
內埔鄉,振豐村,410,307227,749,598,331,974,585.24,78.10
竹田鄉,竹田村,384,281245,732,592,357,925,583.75,79.70
竹田鄉,竹南村,170,136799,805,575,357,850,1725.13,214.38
竹田鄉,糶糴村,169,137267,812,648,426,951,809.57,99.67
竹田鄉,二崙村,205,157012,766,650,332,1047,590.22,77.06
竹田鄉,美崙村,171,115166,673,548,352,839,490.32,72.80
竹田鄉,頭崙村,277,193619,699,561,338,887,561.11,80.28
竹田鄉,履豐村,147,107452,731,598,339,1040,520.08,71.15
竹田鄉,泗洲村,216,129441,599,507,270,801,441.33,73.64
竹田鄉,大湖村,228,162198,711,555,353,910,591.90,83.20
竹田鄉,鳳明村,221,133368,603,461,317,770,540.40,89.55
竹田鄉,南勢村,100,70965,710,624,383,913,436.82,61.55
竹田鄉,六巷村,158,120471,762,632,392,919,597.46,78.36
竹田鄉,西勢村,615,423489,689,546,326,868,578.53,84.02
竹田鄉,福田村,111,70820,638,582,353,817,444.47,69.66
竹田鄉,永豐村,185,148155,801,669,438,1079,495.82,61.91
新埤鄉,新埤村,414,282144,682,567,341,846,556.82,81.70
新埤鄉,建功村,215,162626,756,622,370,951,643.05,85.01
新埤鄉,打鐵村,222,172621,778,582,338,1029,635.93,81.78
新埤鄉,南豐村,133,71786,540,476,344,689,339.81,62.96
新埤鄉,餉潭村,178,86026,483,428,297,612,367.80,76.10
新埤鄉,箕湖村,109,56979,523,468,296,667,340.14,65.07
新埤鄉,萬隆村,233,144511,620,525,307,794,532.55,85.86
枋寮鄉,枋寮村,272,180192,662,539,337,836,483.50,72.98
枋寮鄉,保生村,146,89561,613,509,345,794,411.64,67.10
枋寮鄉,中寮村,84,50771,604,524,334,771,330.07,54.61
枋寮鄉,安樂村,302,198950,659,532,323,847,526.56,79.93
枋寮鄉,天時村,407,287087,705,559,368,880,535.26,75.88
枋寮鄉,地利村,298,222082,745,600,355,948,614.41,82.44
