"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
民雄鄉,福樂村,1763,1369257,777,577,359,989,685.52,88.26
溪口鄉,溪東村,290,209884,724,562,351,882,624.66,86.31
溪口鄉,溪西村,119,79697,670,496,278,778,681.47,101.75
溪口鄉,溪北村,107,70777,661,496,303,805,646.67,97.76
溪口鄉,柴林村,156,117099,751,544,371,899,702.16,93.54
溪口鄉,林腳村,148,95170,643,515,290,814,586.78,91.25
溪口鄉,美南村,220,158159,719,590,316,920,586.23,81.54
溪口鄉,美北村,180,113398,630,455,281,870,544.92,86.50
溪口鄉,本厝村,186,122108,656,507,301,815,560.91,85.44
溪口鄉,游東村,172,110002,640,489,305,876,537.57,84.06
溪口鄉,游西村,131,96942,740,564,333,894,880.70,119.01
溪口鄉,柳溝村,268,165286,617,477,321,848,443.18,71.86
溪口鄉,疊溪村,219,142611,651,488,284,789,625.64,96.08
溪口鄉,妙崙村,133,89490,673,520,316,776,780.16,115.95
溪口鄉,坪頂村,190,133975,705,558,366,906,540.07,76.59
新港鄉,宮前村,563,484951,861,658,364,1131,708.04,82.20
新港鄉,宮後村,374,310538,830,650,345,1117,709.03,85.39
新港鄉,大興村,381,278274,730,571,324,911,648.97,88.85
新港鄉,福德村,372,296740,798,574,326,950,911.18,114.23
新港鄉,古民村,233,157761,677,522,298,816,624.59,92.25
新港鄉,中庄村,271,180203,665,528,315,893,519.08,78.06
新港鄉,大潭村,297,198016,667,547,322,836,546.63,81.99
新港鄉,西庄村,158,123320,781,594,362,991,613.10,78.55
新港鄉,月眉村,368,273836,744,603,375,978,599.74,80.60
新港鄉,月潭村,343,233244,680,501,308,882,574.67,84.51
新港鄉,溪北村,255,176104,691,524,317,812,606.37,87.80
新港鄉,菜公村,190,146665,772,530,302,953,1316.14,170.50
新港鄉,中洋村,256,171738,671,549,315,850,574.62,85.66
新港鄉,三間村,363,305311,841,719,419,1103,584.40,69.48
新港鄉,安和村,178,108518,610,508,306,787,483.86,79.37
新港鄉,潭大村,248,172425,695,515,336,847,623.18,89.63
新港鄉,南港村,234,176769,755,555,347,927,641.68,84.94
新港鄉,板頭村,100,69941,699,546,366,876,536.54,76.71
新港鄉,共和村,160,103028,644,516,290,790,604.41,93.86
新港鄉,埤子村,88,56595,643,543,306,908,421.64,65.56
新港鄉,南崙村,130,95816,737,552,338,942,619.27,84.02
新港鄉,北崙村,74,43180,584,450,292,807,426.70,73.13
新港鄉,海瀛村,78,49537,635,474,306,783,565.31,89.01
六腳鄉,蒜東村,172,117739,685,512,301,801,649.91,94.94
六腳鄉,蒜南村,188,134273,714,583,327,933,573.62,80.32
六腳鄉,蒜頭村,314,218552,696,546,327,899,592.39,85.11
六腳鄉,工廠村,60,52324,872,583,281,1338,831.26,95.32
六腳鄉,灣南村,225,164410,731,551,363,996,530.31,72.57
