"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
鹿港鎮,龍山里,225,162047,720,451,251,911,944.71,131.17
鹿港鎮,頂厝里,2450,1995516,814,531,309,903,1979.09,242.98
鹿港鎮,大有里,353,390639,1107,516,308,894,5908.78,533.95
鹿港鎮,永安里,1469,1303887,888,556,314,994,2670.16,300.83
和美鎮,竹營里,2051,1577038,769,553,329,910,1327.15,172.60
和美鎮,和東里,1495,1254985,839,535,304,941,1699.14,202.41
和美鎮,和南里,137,93822,685,487,251,840,685.18,100.05
和美鎮,和北里,652,498512,765,491,284,908,1359.41,177.80
和美鎮,和西里,1107,867789,784,572,322,977,767.51,97.91
和美鎮,四張里,983,667719,679,515,312,805,787.86,115.99
和美鎮,頭前里,537,380910,709,515,309,845,758.93,106.99
和美鎮,還社里,272,163718,602,480,273,743,554.94,92.20
和美鎮,鎮平里,927,613016,661,494,295,800,604.68,91.44
和美鎮,大霞里,429,287262,670,464,268,763,863.80,129.00
和美鎮,源埤里,528,349333,662,481,280,857,605.75,91.56
和美鎮,南佃里,662,403962,610,462,282,722,616.94,101.10
和美鎮,雅溝里,449,291633,650,462,282,776,658.76,101.42
和美鎮,面前里,671,468274,698,490,294,801,774.06,110.92
和美鎮,山犁里,1754,1333774,760,538,314,935,827.59,108.83
和美鎮,嘉犁里,621,503539,811,521,295,888,2880.31,355.22
和美鎮,鐵山里,986,831194,843,515,317,873,1445.75,171.50
和美鎮,詔安里,671,450982,672,494,289,822,710.76,105.75
和美鎮,柑井里,1120,777063,694,500,290,847,793.22,114.33
和美鎮,竹園里,304,187729,618,458,274,753,613.39,99.33
和美鎮,新庄里,802,537357,670,503,298,841,621.01,92.68
和美鎮,犁盛里,777,561287,722,527,309,868,716.73,99.22
和美鎮,中寮里,313,193048,617,442,290,728,572.33,92.79
和美鎮,中圍里,934,594010,636,490,296,779,643.67,101.21
和美鎮,糖友里,1467,1116787,761,593,352,992,664.18,87.25
和美鎮,塗厝里,575,364594,634,479,293,765,591.64,93.31
和美鎮,地潭里,262,170116,649,512,338,821,487.60,75.10
和美鎮,湖內里,391,248746,636,479,280,733,628.22,98.75
和美鎮,嘉寶里,608,394965,650,444,266,709,1189.19,183.06
和美鎮,月眉里,1047,625349,597,452,292,724,539.89,90.39
和美鎮,好修里,538,312150,580,488,285,737,467.13,80.51
和美鎮,仁愛里,868,620301,715,528,300,861,723.81,101.28
北斗鎮,光復里,481,392680,816,619,333,1042,724.49,88.74
北斗鎮,新政里,277,212431,767,574,315,995,725.04,94.54
北斗鎮,重慶里,146,106361,728,494,332,894,652.77,89.60
北斗鎮,五權里,181,129690,717,534,300,847,1140.29,159.14
北斗鎮,七星里,377,253954,674,518,311,851,565.54,83.96
北斗鎮,居仁里,390,295236,757,560,345,949,663.70,87.67
北斗鎮,東光里,563,390731,694,547,328,920,522.48,75.28
北斗鎮,中和里,298,199437,669,486,319,761,713.77,106.65
