"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
竹山鎮,雲林里,971,729642,751,565,331,924,730.18,97.17
竹山鎮,桂林里,844,590114,699,536,315,917,605.31,86.57
竹山鎮,下坪里,260,198425,763,578,397,954,639.60,83.81
竹山鎮,中和里,214,131927,616,504,321,778,447.50,72.59
竹山鎮,中崎里,305,182158,597,506,314,736,439.68,73.62
竹山鎮,德興里,170,109369,643,526,305,777,632.20,98.27
竹山鎮,延和里,1297,963284,743,573,329,928,668.89,90.06
竹山鎮,延正里,316,209555,663,479,290,736,842.41,127.03
竹山鎮,延平里,655,428150,654,500,311,763,637.66,97.55
竹山鎮,延山里,163,123373,757,541,358,959,782.36,103.36
竹山鎮,山崇里,401,307716,767,579,336,978,785.56,102.37
竹山鎮,社寮里,253,179685,710,525,331,889,716.27,100.85
竹山鎮,中央里,254,156105,615,505,320,785,460.55,74.94
竹山鎮,富州里,134,80071,598,470,314,762,459.68,76.93
竹山鎮,大鞍里,38,19630,517,418,279,592,443.87,85.93
竹山鎮,田子里,80,50127,627,492,354,777,503.17,80.30
竹山鎮,福興里,77,48950,636,503,361,728,450.83,70.92
竹山鎮,鯉魚里,129,69490,539,460,245,610,474.22,88.03
竹山鎮,坪頂里,61,40317,661,500,319,805,551.24,83.40
竹山鎮,瑞竹里,99,57238,578,473,286,736,561.95,97.20
竹山鎮,桶頭里,118,64357,545,397,259,664,521.54,95.63
竹山鎮,秀林里,116,69041,595,515,306,757,443.98,74.60
竹山鎮,延祥里,883,551670,625,510,301,783,509.90,81.61
竹山鎮,竹圍里,590,410963,697,559,330,885,559.80,80.37
集集鎮,集集里,274,206204,753,558,334,916,666.99,88.63
集集鎮,和平里,230,166741,725,532,304,949,697.49,96.21
集集鎮,林尾里,113,100560,890,658,367,1117,1126.89,126.63
集集鎮,田寮里,318,232200,730,688,328,1008,512.65,70.21
集集鎮,隘寮里,113,72390,641,500,304,856,505.39,78.89
集集鎮,玉映里,120,79997,667,498,297,876,576.53,86.48
集集鎮,吳厝里,220,136127,619,466,263,811,527.15,85.20
集集鎮,八張里,340,234636,690,526,321,868,645.54,93.54
集集鎮,永昌里,218,190045,872,620,308,1146,974.34,111.77
集集鎮,富山里,108,61458,569,487,231,733,477.27,83.87
集集鎮,廣明里,195,143282,735,548,303,1008,615.48,83.76
名間鄉,南雅村,282,180278,639,507,303,831,495.82,77.56
名間鄉,中正村,903,613026,679,531,331,863,584.80,86.14
名間鄉,中山村,556,370208,666,497,286,800,819.43,123.07
名間鄉,濁水村,363,243092,670,483,296,771,644.54,96.25
名間鄉,炭寮村,206,146990,714,506,317,729,1073.59,150.46
名間鄉,新民村,209,120775,578,458,302,697,469.49,81.25
名間鄉,新街村,1188,757134,637,526,313,827,532.83,83.61
名間鄉,東湖村,437,280985,643,507,310,817,548.38,85.29
名間鄉,仁和村,184,100660,547,455,275,726,399.10,72.95
名間鄉,萬丹村,224,142282,635,457,286,790,807.33,127.10
名間鄉,田仔村,300,202232,674,469,289,811,702.89,104.27
名間鄉,新光村,423,300411,710,528,314,882,664.33,93.54
名間鄉,大庄村,386,267160,692,530,314,906,605.84,87.53
名間鄉,大坑村,160,105293,658,512,295,788,798.12,121.28
名間鄉,竹圍村,176,109237,621,544,323,758,525.07,84.60
名間鄉,赤水村,215,146205,680,486,312,868,610.97,89.85
名間鄉,三崙村,304,223210,734,527,307,842,1012.94,137.96
名間鄉,松山村,354,229043,647,468,288,758,731.04,112.99
名間鄉,松柏村,214,134390,628,507,269,793,580.17,92.38
名間鄉,埔中村,194,115688,596,447,316,710,509.98,85.52
名間鄉,崁腳村,209,134283,643,480,289,827,555.19,86.41
名間鄉,新厝村,180,115273,640,471,302,863,513.96,80.26
鹿谷鄉,鹿谷村,403,293813,729,532,315,907,722.03,99.03
鹿谷鄉,初鄉村,311,209407,673,501,321,841,567.77,84.32
鹿谷鄉,彰雅村,267,202710,759,531,343,897,897.01,118.15
鹿谷鄉,廣興村,444,334161,753,567,336,1007,613.50,81.52
鹿谷鄉,內湖村,191,116781,611,507,290,758,511.65,83.68
鹿谷鄉,竹林村,246,180654,734,548,351,867,640.27,87.19
鹿谷鄉,竹豐村,145,90711,626,546,364,738,499.49,79.84
鹿谷鄉,和雅村,101,66342,657,485,322,861,564.73,85.98
鹿谷鄉,鳳凰村,297,222730,750,587,360,811,1056.19,140.84
鹿谷鄉,永隆村,331,244302,738,561,376,938,578.97,78.44
鹿谷鄉,秀峰村,158,114433,724,504,362,811,785.55,108.46
鹿谷鄉,清水村,137,82059,599,509,311,726,439.35,73.35
鹿谷鄉,瑞田村,114,95098,834,533,328,877,1620.48,194.26
中寮鄉,廣興村,162,98787,610,492,301,759,479.35,78.61
中寮鄉,崁頂村,88,56551,643,443,270,840,597.06,92.91
中寮鄉,和興村,106,69387,655,493,268,785,672.63,102.76
中寮鄉,八仙村,169,102178,605,437,243,733,795.07,131.50
中寮鄉,福盛村,114,70153,615,485,285,818,539.34,87.64
中寮鄉,永平村,443,283891,641,471,285,777,574.03,89.58
中寮鄉,復興村,66,39557,599,443,272,830,514.97,85.92
中寮鄉,中寮村,156,100038,641,475,329,765,540.28,84.25
中寮鄉,廣福村,102,68904,676,549,309,793,698.53,103.41
中寮鄉,永福村,309,219953,712,500,304,872,985.42,138.44
中寮鄉,義和村,237,126429,533,432,288,651,409.10,76.69
中寮鄉,清水村,140,85753,613,468,260,741,657.09,107.28
中寮鄉,龍安村,146,96678,662,506,327,797,644.27,97.30
中寮鄉,龍岩村,161,94288,586,452,305,774,450.42,76.91
中寮鄉,永和村,111,64074,577,461,267,781,450.06,77.97
中寮鄉,內城村,93,62923,677,446,304,693,1267.11,187.28
中寮鄉,爽文村,104,54823,527,419,278,613,439.70,83.41
中寮鄉,永芳村,88,42952,488,386,230,676,386.12,79.11
魚池鄉,東池村,324,206388,637,444,294,826,629.19,98.77
魚池鄉,魚池村,468,325951,696,521,319,881,575.18,82.58
魚池鄉,中明村,175,102186,584,442,311,723,454.95,77.91
魚池鄉,新城村,247,179466,727,538,336,819,1324.47,182.29
魚池鄉,大林村,194,104839,540,421,267,671,461.71,85.44
魚池鄉,大雁村,123,94117,765,565,363,854,918.96,120.10
魚池鄉,五城村,152,88556,583,453,310,693,498.26,85.52
魚池鄉,東光村,167,104452,625,472,288,724,598.95,95.76
魚池鄉,共和村,146,117108,802,451,287,795,1588.07,197.99
魚池鄉,水社村,183,125405,685,539,294,852,568.59,82.97
魚池鄉,頭社村,162,106241,656,537,316,743,700.76,106.85
魚池鄉,武登村,106,95150,898,519,341,813,2710.70,301.98
魚池鄉,日月村,141,142123,1008,488,276,792,3304.84,327.87
國姓鄉,國姓村,311,226131,727,472,272,818,1187.63,163.34
國姓鄉,石門村,340,220126,647,487,294,778,672.46,103.87
國姓鄉,大旗村,89,56312,633,516,353,843,475.75,75.19
國姓鄉,北港村,306,200356,655,473,296,793,646.35,98.72
國姓鄉,長流村,244,136110,558,447,279,669,482.26,86.45
國姓鄉,福龜村,335,192924,576,456,260,743,534.83,92.87
國姓鄉,乾溝村,153,93348,610,478,294,732,473.00,77.53
國姓鄉,柑林村,194,100762,519,412,232,656,438.35,84.40
國姓鄉,南港村,270,156185,578,463,303,722,520.54,89.99
國姓鄉,北山村,214,124191,580,448,289,701,555.68,95.75
國姓鄉,大石村,110,66792,607,466,300,753,513.03,84.49
國姓鄉,長福村,111,51791,467,357,213,563,454.61,97.43
國姓鄉,長豐村,92,55009,598,488,324,745,441.44,73.83
水里鄉,水里村,178,95834,538,418,245,746,460.59,85.55
水里鄉,農富村,139,77256,556,399,217,730,513.32,92.36
水里鄉,新城村,358,217337,607,474,259,731,656.63,108.16
水里鄉,中央村,139,75059,540,430,249,727,440.33,81.54
水里鄉,城中村,190,126514,666,531,249,805,612.22,91.94
水里鄉,北埔村,260,175374,675,506,290,792,634.15,94.02
水里鄉,鉅工村,281,232771,828,580,319,1292,791.87,95.59
水里鄉,永豐村,340,195153,574,461,275,701,496.08,86.43
水里鄉,頂崁村,263,160635,611,515,240,803,538.72,88.20
水里鄉,車埕村,93,54656,588,464,303,718,591.96,100.73
水里鄉,新興村,109,59104,542,475,347,653,344.18,63.47
水里鄉,新山村,36,33040,918,572,429,870,1121.36,122.18
水里鄉,郡坑村,50,24582,492,391,292,627,320.22,65.13
水里鄉,上安村,187,100106,535,460,272,692,363.59,67.92
水里鄉,民和村,130,77804,598,425,252,714,607.15,101.45
水里鄉,永興村,54,26517,491,388,240,660,353.44,71.98
水里鄉,玉峰村,153,84675,553,421,265,733,444.33,80.29
水里鄉,興隆村,47,24156,514,419,259,644,416.09,80.96
水里鄉,南光村,421,288562,685,526,307,880,590.45,86.14
信義鄉,明德村,288,199820,694,544,329,898,607.23,87.52
