"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
公館鄉,北河村,86,51552,599,458,325,762,488.21,81.44
公館鄉,館東村,753,590982,785,590,353,1020,679.48,86.58
銅鑼鄉,福興村,327,228726,699,562,342,882,564.22,80.66
銅鑼鄉,銅鑼村,1589,1115638,702,555,348,919,555.04,79.05
銅鑼鄉,朝陽村,585,387961,663,524,329,857,506.66,76.40
銅鑼鄉,竹森村,330,242269,734,576,352,913,746.60,101.70
銅鑼鄉,九湖村,340,221348,651,515,318,862,469.62,72.14
銅鑼鄉,樟樹村,382,270300,708,560,383,916,545.64,77.11
銅鑼鄉,興隆村,141,99500,706,542,335,938,576.68,81.72
銅鑼鄉,盛隆村,110,75305,685,581,361,939,460.86,67.32
銅鑼鄉,新隆村,148,104919,709,591,344,1021,476.82,67.26
銅鑼鄉,中平村,1000,701503,702,540,358,899,577.63,82.34
三義鄉,廣盛村,1321,1009438,764,557,333,920,1665.87,218.00
三義鄉,双湖村,587,436517,744,585,372,955,640.58,86.14
三義鄉,双潭村,443,311060,702,562,359,928,519.28,73.95
三義鄉,勝興村,1161,789310,680,526,342,872,568.66,83.64
三義鄉,西湖村,413,273098,661,547,338,832,509.23,77.01
三義鄉,龍騰村,102,101661,997,578,358,996,1558.96,156.41
鯉,魚潭村,293,199442,681,530,334,830,527.64,77.52
西湖鄉,高埔村,181,135988,751,446,299,860,1970.39,262.26
西湖鄉,下埔村,170,122342,720,525,333,924,629.30,87.44
西湖鄉,五湖村,271,195877,723,555,339,975,569.95,78.85
西湖鄉,四湖村,174,128022,736,557,302,933,749.25,101.83
西湖鄉,三湖村,240,169099,705,591,336,908,526.61,74.74
西湖鄉,湖東村,320,217438,679,538,341,849,548.62,80.74
西湖鄉,二湖村,173,128189,741,567,355,954,606.08,81.79
西湖鄉,龍洞村,121,85075,703,536,348,945,522.97,74.38
西湖鄉,金獅村,130,100352,772,552,316,995,945.05,122.42
頭屋鄉,頭屋村,813,588734,724,593,360,951,563.98,77.88
頭屋鄉,象山村,629,452918,720,534,330,927,849.83,118.02
頭屋鄉,北坑村,205,121271,592,497,305,730,447.38,75.63
頭屋鄉,獅潭村,574,406211,708,567,343,958,517.35,73.11
頭屋鄉,曲洞村,281,199456,710,563,358,912,561.32,79.08
頭屋鄉,飛鳳村,110,84837,771,596,341,908,731.92,94.90
頭屋鄉,明德村,332,232520,700,508,289,976,586.19,83.70
頭屋鄉,鳴鳳村,78,64964,833,484,326,1083,1103.40,132.48
竹南鎮,竹南里,796,878305,1103,636,357,1109,3316.60,300.58
竹南鎮,正南里,952,823650,865,615,347,1091,845.41,97.71
竹南鎮,新南里,1598,1706698,1068,758,412,1328,2465.39,230.84
竹南鎮,大厝里,2057,1985752,965,720,407,1267,870.95,90.22
竹南鎮,營盤里,1238,1165981,942,680,367,1203,1566.44,166.32
竹南鎮,龍鳳里,790,574854,728,545,362,926,694.97,95.51
竹南鎮,山佳里,1628,1385763,851,651,382,1111,738.58,86.77
竹南鎮,中港里,360,303868,844,614,348,1046,940.49,111.42
竹南鎮,聖福里,1323,1258554,951,703,403,1216,872.76,91.74
竹南鎮,竹興里,1062,716229,674,531,341,863,521.11,77.27
竹南鎮,中華里,1045,871064,834,613,391,1018,801.42,96.15
竹南鎮,中英里,520,361385,695,550,334,874,592.60,85.27
竹南鎮,中美里,725,510091,704,544,320,888,568.50,80.80
竹南鎮,開元里,338,260038,769,617,379,1019,592.68,77.04
竹南鎮,海口里,1258,1109212,882,659,393,1102,822.71,93.31
竹南鎮,港墘里,709,565473,798,608,371,1010,652.27,81.78
竹南鎮,公館里,391,272568,697,531,331,876,632.49,90.73
竹南鎮,大埔里,1100,786932,715,534,340,875,740.72,103.54
竹南鎮,崎頂里,1249,986624,790,608,381,983,663.05,83.94
竹南鎮,頂埔里,733,517811,706,553,339,871,621.47,87.97
竹南鎮,公義里,355,262283,739,527,351,812,1006.91,136.29
竹南鎮,照南里,1246,1384258,1111,730,399,1412,1345.45,121.11
竹南鎮,佳興里,1192,1116381,937,667,394,1182,922.51,98.50
竹南鎮,天文里,789,711515,902,688,407,1129,991.35,109.93
竹南鎮,龍山里,790,688470,871,637,380,1094,846.85,97.17
頭份市,頭份里,1148,910969,794,624,381,994,699.68,88.17
頭份市,忠孝里,1196,1130378,945,631,374,1162,2378.39,251.65
頭份市,仁愛里,521,342134,657,499,304,796,602.18,91.70
頭份市,信義里,267,268080,1004,567,336,985,2171.00,216.22
頭份市,和平里,349,295028,845,590,320,1012,895.22,105.90
頭份市,民族里,708,533424,753,588,352,949,629.26,83.52
頭份市,土牛里,266,167881,631,493,341,795,467.31,74.04
頭份市,上興里,667,468012,702,561,362,860,560.34,79.86
頭份市,下興里,835,633642,759,581,360,932,668.47,88.09
頭份市,東庄里,1105,1009902,914,654,385,1182,984.61,107.73
頭份市,田寮里,1419,1155521,814,623,376,1049,720.25,88.45
頭份市,蟠桃里,2174,2172131,999,761,451,1319,801.29,80.20
頭份市,山下里,1391,1300070,935,688,392,1230,864.38,92.48
頭份市,後庄里,1483,1562227,1053,775,434,1374,986.85,93.68
頭份市,新華里,1224,861951,704,530,342,881,762.92,108.34
頭份市,斗煥里,1056,750234,710,566,369,900,549.61,77.36
頭份市,興隆里,1463,1365806,934,642,382,1184,943.93,101.11
頭份市,上埔里,855,621616,727,560,360,917,625.39,86.02
頭份市,珊湖里,548,367233,670,510,314,811,659.76,98.45
頭份市,流東里,680,460396,677,525,351,845,563.72,83.26
頭份市,尖山里,486,336260,692,522,352,874,726.54,105.01
頭份市,廣興里,291,208899,718,571,328,956,615.07,85.68
頭份市,尖下里,901,625188,694,538,344,907,564.17,81.31
頭份市,濫坑里,734,483991,659,530,340,896,469.18,71.15
頭份市,蘆竹里,467,291410,624,503,319,757,503.02,80.61
頭份市,民權里,700,572140,817,585,356,947,1129.29,138.17
頭份市,民生里,816,571326,700,560,351,893,552.01,78.84
頭份市,建國里,1325,1189818,898,645,400,1142,845.09,94.11
頭份市,成功里,1364,1141201,837,626,366,1094,785.29,93.86
頭份市,自強里,720,604926,840,602,347,1035,1095.62,130.40
頭份市,合興里,979,972350,993,771,454,1293,920.29,92.66
頭份市,文化里,1292,1341790,1039,758,436,1373,954.98,91.95
造橋鄉,造橋村,729,579574,795,557,334,936,1933.54,243.20
造橋鄉,平興村,141,102265,725,619,387,853,541.72,74.69
造橋鄉,豐湖村,349,238948,685,557,331,909,505.58,73.84
造橋鄉,錦水村,184,127545,693,595,398,888,459.27,66.26
造橋鄉,大西村,1228,848217,691,564,344,911,498.26,72.14
造橋鄉,大龍村,166,104011,627,501,309,851,460.30,73.46
造橋鄉,朝陽村,434,292792,675,516,323,861,604.14,89.55
造橋鄉,談文村,211,141905,673,573,343,790,550.84,81.90
造橋鄉,龍昇村,270,184412,683,506,325,873,573.32,83.94
後龍鎮,南龍里,406,275480,679,528,321,849,596.70,87.94
後龍鎮,中龍里,270,215465,798,600,377,1137,636.33,79.74
後龍鎮,北龍里,418,281673,674,508,307,862,583.88,86.65
後龍鎮,大庄里,1339,983377,734,551,327,906,703.28,95.76
後龍鎮,溪洲里,663,454885,686,514,327,833,668.12,97.38
後龍鎮,豐富里,404,274554,680,534,339,898,505.75,74.42
後龍鎮,校椅里,249,188831,758,600,346,1022,595.82,78.57
後龍鎮,埔頂里,852,599605,704,557,344,925,596.12,84.71
後龍鎮,新民里,423,304952,721,562,356,937,555.07,76.99
後龍鎮,復興里,176,118555,674,519,332,811,559.10,83.00
後龍鎮,東明里,417,296433,711,535,351,866,655.04,92.15
後龍鎮,灣寶里,334,234959,703,528,345,862,600.65,85.38
後龍鎮,海寶里,230,159792,695,515,322,830,624.25,89.85
後龍鎮,大山里,444,317312,715,503,327,867,941.73,131.77
後龍鎮,外埔里,237,158368,668,510,311,864,598.36,89.54
後龍鎮,海埔里,241,140178,582,483,285,724,476.51,81.92
後龍鎮,秀水里,196,136387,696,520,319,846,592.65,85.17
