"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
中正區,河堤里,1756,2159640,1230,763,412,1454,2068.86,168.22
中正區,龍福里,2129,2864259,1345,910,439,1767,1442.96,107.25
中正區,螢雪里,1553,1520331,979,647,368,1226,1141.42,116.59
中正區,永昌里,1566,1326667,847,596,351,1052,853.67,100.77
中正區,文盛里,969,1391933,1436,841,415,1609,4504.00,313.55
中正區,忠勤里,1824,1299992,713,544,329,905,616.48,86.50
中正區,永功里,2080,2252949,1083,738,382,1378,1225.91,113.18
中正區,螢圃里,2027,2234394,1102,714,387,1361,1389.04,126.01
中正區,幸市里,1776,4963811,2795,910,435,1917,15656.24,560.16
中正區,文祥里,2714,4641303,1710,970,441,2011,4384.01,256.35
中正區,黎明里,1177,1776858,1510,811,395,1573,4364.33,289.10
中正區,建國里,537,880577,1640,953,452,1833,2392.11,145.88
中正區,光復里,1312,2239195,1707,763,388,1481,4987.16,292.21
中正區,東門里,1472,7995105,5431,887,458,1890,143578.54,2643.46
中正區,板溪里,1244,1427657,1148,747,387,1417,1646.92,143.51
中正區,文北里,2146,5733089,2672,960,430,2175,12210.53,457.06
中正區,梅花里,1309,2159385,1650,835,414,1617,4874.76,295.50
中正區,廈安里,1397,1773940,1270,767,425,1552,1976.45,155.65
中正區,網溪里,2143,2504907,1169,767,394,1450,1371.14,117.30
中正區,林興里,1604,2077730,1295,834,402,1520,2245.43,173.35
中正區,幸福里,1725,2748520,1593,873,427,1709,3525.00,221.23
中正區,水源里,1080,1167017,1081,714,393,1334,1235.15,114.31
中正區,富水里,801,1043240,1302,920,472,1513,1891.57,145.23
中正區,頂東里,2317,2914334,1258,794,399,1505,3065.75,243.74
中正區,新營里,3098,5165106,1667,1036,485,2105,2626.51,157.54
中正區,南福里,3497,5648800,1615,1012,477,1975,3035.65,187.93
中正區,三愛里,3130,6386791,2041,889,420,1906,11865.54,581.50
萬華區,柳鄉里,1458,1081168,742,547,313,947,1009.21,136.10
萬華區,雙園里,1482,1479342,998,628,376,1140,1592.57,159.54
萬華區,西門里,1275,1301569,1021,678,359,1154,3112.61,304.91
萬華區,仁德里,1719,1985518,1155,678,358,1388,1874.74,162.31
萬華區,新起里,2303,2609419,1133,665,363,1215,3404.20,300.45
萬華區,日善里,1117,936212,838,598,358,1009,987.73,117.85
萬華區,菜園里,1906,1719625,902,607,335,1077,1159.11,128.47
萬華區,頂碩里,2315,2054602,888,595,347,1074,1331.45,150.02
萬華區,福音里,1153,1644829,1427,605,351,1053,9178.56,643.40
萬華區,華中里,1896,1570100,828,604,356,1077,892.33,107.75
萬華區,青山里,1546,1340544,867,573,326,1023,1081.35,124.71
萬華區,新和里,2834,2599419,917,655,357,1163,1004.92,109.56
萬華區,新安里,1730,1381724,799,568,344,964,950.71,119.03
萬華區,富民里,1497,1261617,843,579,332,1030,1038.64,123.24
萬華區,富福里,1526,1610148,1055,618,343,1118,2755.42,261.14
萬華區,綠堤里,1034,689686,667,527,314,849,571.31,85.65
萬華區,忠貞里,1350,1063989,788,542,318,945,908.25,115.24
萬華區,日祥里,1619,1477957,913,607,354,1107,1743.03,190.94
萬華區,忠德里,1280,1087976,850,608,353,1070,1085.67,127.73
萬華區,孝德里,992,779004,785,578,345,973,730.64,93.04
萬華區,保德里,1065,1224364,1150,628,368,1191,2960.22,257.49
萬華區,全德里,1264,1248644,988,650,375,1206,1434.60,145.22
萬華區,興德里,1208,972920,805,594,342,1020,866.78,107.62
萬華區,壽德里,1602,1513847,945,652,364,1171,1103.58,116.78
萬華區,凌霄里,1046,822021,786,588,347,963,729.00,92.76
萬華區,和平里,1903,1448564,761,576,350,972,672.60,88.36
萬華區,騰雲里,1022,1032075,1010,623,353,1109,4176.17,413.54
萬華區,榮德里,987,780138,790,603,360,993,683.48,86.47
萬華區,福星里,1626,1582758,973,620,341,1148,1345.31,138.21
萬華區,和德里,1754,1349752,770,543,331,928,835.95,108.63
萬華區,萬壽里,1118,1183321,1058,657,346,1201,1406.41,132.88
萬華區,銘德里,1447,1217107,841,583,357,1039,824.04,97.97
萬華區,華江里,2527,1977219,782,564,322,982,794.86,101.59
萬華區,錦德里,1648,1284311,779,563,335,949,770.28,98.84
萬華區,新忠里,1078,960010,891,605,367,1121,922.47,103.58
大同區,建泰里,1371,1572706,1147,698,382,1256,1885.24,164.35
大同區,建明里,1263,1472718,1166,616,343,1203,2450.03,210.11
