"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
左營區,明建里,319,316895,993,853,516,1222,712.54,71.73
左營區,福山里,10801,10868500,1006,757,432,1260,961.66,95.57
楠梓區,東寧里,1323,1191568,901,737,405,1161,709.94,78.83
楠梓區,享平里,951,776269,816,594,337,1038,807.12,98.88
楠梓區,五常里,1726,1244451,721,571,346,909,584.39,81.05
楠梓區,惠民里,1249,995484,797,600,363,1041,684.78,85.92
楠梓區,中陽里,791,599860,758,558,345,910,792.69,104.53
楠梓區,清豐里,6560,5801998,884,714,410,1152,729.85,82.52
楠梓區,稔田里,438,342501,782,601,336,1004,838.86,107.28
楠梓區,玉屏里,688,524301,762,602,372,964,666.90,87.51
楠梓區,錦屏里,1022,811882,794,593,357,1023,673.49,84.78
楠梓區,金田里,963,771709,801,594,368,1027,829.53,103.51
楠梓區,廣昌里,852,620886,729,596,381,932,517.96,71.08
楠梓區,福昌里,584,500354,857,637,384,1085,822.20,95.97
楠梓區,泰昌里,374,292288,782,618,372,901,730.35,93.45
楠梓區,興昌里,1394,1246453,894,673,403,1133,1066.79,119.31
楠梓區,建昌里,810,619600,765,584,356,999,644.55,84.26
楠梓區,中和里,561,482872,861,672,378,1083,827.48,96.14
楠梓區,中興里,490,437153,892,689,402,1112,732.66,82.12
楠梓區,藍田里,1768,2030367,1148,819,466,1390,3174.66,276.44
楠梓區,宏毅里,802,709861,885,749,395,1203,693.26,78.32
楠梓區,宏南里,587,734827,1252,917,451,1853,1162.67,92.88
楠梓區,宏榮里,876,880739,1005,790,427,1308,869.92,86.52
楠梓區,和昌里,630,484221,769,593,350,992,622.15,80.95
楠梓區,隆昌里,1045,828022,792,596,357,1031,749.73,94.62
楠梓區,惠楠里,792,601063,759,576,338,978,719.85,94.85
楠梓區,瑞屏里,1225,982289,802,619,381,1019,679.78,84.77
楠梓區,大昌里,567,393198,693,557,344,879,554.99,80.03
楠梓區,裕昌里,1364,1349458,989,716,415,1150,3642.59,368.18
楠梓區,加昌里,2719,2158011,794,632,382,1006,658.32,82.94
楠梓區,仁昌里,1538,1166567,758,596,391,937,638.64,84.20
楠梓區,惠豐里,1573,1232340,783,625,369,1031,596.05,76.08
楠梓區,翠屏里,4632,3666298,792,637,378,1025,654.09,82.64
楠梓區,久昌里,772,560524,726,601,369,959,525.77,72.41
楠梓區,盛昌里,1793,1550329,865,690,407,1114,714.70,82.66
楠梓區,宏昌里,1008,856089,849,675,383,1092,765.82,90.17
楠梓區,秀昌里,645,544424,844,625,370,1085,853.13,101.07
楠梓區,慶昌里,1118,1020664,913,676,385,1183,939.05,102.86
楠梓區,國昌里,1042,798445,766,595,359,949,626.26,81.73
三民區,鼎金里,1126,887490,788,573,350,958,880.33,111.69
三民區,鼎西里,2178,1731450,795,610,372,997,834.21,104.94
三民區,本館里,2677,2297400,858,632,376,1094,784.11,91.37
三民區,寶獅里,1130,983374,870,625,354,1056,919.49,105.66
三民區,灣子里,1225,1133891,926,651,367,1107,1072.45,115.86
三民區,安東里,1038,994937,959,637,377,1133,1348.74,140.71
三民區,安生里,480,386905,806,575,337,961,1350.25,167.51
三民區,港東里,398,351247,883,520,298,899,1967.50,222.94
三民區,港西里,184,137541,748,528,297,983,719.28,96.22
三民區,港北里,0,0,0,0,0,0,0.00,0.00
三民區,博愛里,381,293733,771,547,333,964,827.82,107.38
三民區,建東里,318,227105,714,587,342,898,591.18,82.78
三民區,鳳南里,242,172326,712,551,294,900,711.66,99.94
三民區,鳳北里,390,275526,706,516,312,863,669.17,94.72
三民區,德東里,263,208449,793,589,329,1009,762.08,96.15
三民區,德西里,265,244056,921,619,323,1127,945.18,102.63
三民區,德北里,553,481715,871,632,345,1108,828.51,95.11
三民區,川東里,342,264042,772,568,351,980,714.18,92.50
三民區,千歲里,348,274193,788,575,310,1017,738.34,93.71
三民區,千北里,312,243126,779,552,319,978,731.66,93.89
三民區,興德里,532,504082,948,651,336,1147,1084.45,114.45
三民區,正興里,3903,3823768,980,720,406,1242,929.39,94.87
三民區,十全里,489,444452,909,606,327,1001,1211.03,133.24
三民區,豐裕里,712,526035,739,558,334,909,725.08,98.14
三民區,力行里,306,206715,676,510,271,829,636.07,94.16
三民區,立誠里,212,193884,915,612,336,1073,1147.44,125.46
三民區,立德里,363,286139,788,587,330,1029,690.33,87.58
三民區,達德里,504,581335,1153,651,344,1200,2439.30,211.48
三民區,灣華里,816,664646,815,581,343,992,975.41,119.75
三民區,灣中里,1606,1305783,813,616,372,1012,716.58,88.13
三民區,灣復里,1020,768375,753,567,347,993,715.36,94.96
三民區,灣興里,599,663414,1108,684,393,1281,1935.74,174.78
三民區,寶珠里,1672,1347852,806,584,332,1042,776.24,96.29
三民區,民享里,701,630332,899,636,326,1049,973.67,108.28
三民區,安宜里,975,843837,865,616,346,1043,1040.54,120.23
三民區,同德里,927,851753,919,630,357,1103,1051.48,114.44
三民區,精華里,492,474397,964,626,385,1129,1517.74,157.41
三民區,長明里,324,287357,887,583,329,953,2350.45,265.02
三民區,裕民里,389,360351,926,716,394,1125,809.64,87.40
三民區,寶龍里,1235,1778056,1440,637,378,1179,16829.23,1168.92
三民區,港新里,511,487947,955,588,336,1053,1422.50,148.97
三民區,博惠里,1312,1154225,880,612,352,1070,1122.05,127.54
三民區,立業里,259,181348,700,498,294,891,652.18,93.14
三民區,十美里,601,506531,843,605,327,1066,829.71,98.45
三民區,德行里,368,348492,947,594,345,1096,1510.34,159.49
三民區,安邦里,1188,1036484,872,615,356,1098,852.46,97.71
三民區,千秋里,535,325512,608,500,300,774,548.50,90.15
三民區,灣勝里,546,389270,713,531,321,889,640.17,89.79
三民區,灣利里,970,684139,705,527,312,862,621.80,88.16
三民區,達明里,534,485189,909,595,323,1093,1094.09,120.42
三民區,達勇里,324,321848,993,632,347,1185,1373.74,138.29
三民區,達仁里,522,502599,963,609,348,1098,1850.51,192.19
三民區,灣愛里,755,530654,703,529,326,852,713.77,101.55
三民區,安和里,793,809055,1020,612,348,1017,2180.32,213.71
三民區,德智里,756,688772,911,611,344,1123,1047.29,114.95
三民區,寶興里,2095,1877313,896,612,355,1067,2137.77,238.57
